year,nature_of_employment,industry1,industry2,industry3,total_paid_hours,standard_hours,overtime_paid_hours
1995,part-time,services,wholesale and retail trade,retail trade,24.6,24.3,0.2
1995,full-time,services,hotels and restaurants,hotels,45.8,43.8,2
1995,part-time,services,hotels and restaurants,hotels,20.7,20.3,0.5
1995,full-time,services,hotels and restaurants,restaurants,44.6,43.6,1
1995,part-time,services,hotels and restaurants,restaurants,24.4,23.9,0.5
1995,full-time,services,"transport, storage and communications","transport, storage and communications",47.3,43.3,4
1995,part-time,services,"transport, storage and communications","transport, storage and communications",22.9,22.3,0.6
1995,full-time,services,financial intermediation,financial institutions,43.6,42.5,1.2
1995,part-time,services,financial intermediation,financial institutions,20.4,20.1,0.3
1995,full-time,services,financial intermediation,insurance and pension funding,40.4,39.6,0.9
1995,part-time,services,financial intermediation,insurance and pension funding,20.3,20.1,0.2
1995,full-time,services,business and real estate services,business and real estate services,45.1,42.5,2.7
1995,part-time,services,business and real estate services,business and real estate services,23.9,23.6,0.3
1995,full-time,services,"community, social and personal services","community, social and personal services",42.7,41.5,1.3
1995,part-time,services,"community, social and personal services","community, social and personal services",21.2,21,0.2
1995,full-time,others,others,others,46,44.3,1.7
1995,part-time,others,others,others,31.7,31.6,0.1
1996,full-time,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.3,43.4,3.9
1996,part-time,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",21.4,21.1,0.3
1996,full-time,manufacturing,textile and wearing apparel,textile and wearing apparel,49.1,43.9,5.2
1996,part-time,manufacturing,textile and wearing apparel,textile and wearing apparel,22.1,22,-
1996,full-time,manufacturing,paper products and publishing,paper products and publishing,50.1,43.1,7
1996,part-time,manufacturing,paper products and publishing,paper products and publishing,23.1,22.9,0.2
1996,full-time,manufacturing,petroleum and chemical products,petroleum and chemical products,48.4,43,5.4
1996,part-time,manufacturing,petroleum and chemical products,petroleum and chemical products,27.5,25.4,2.1
1996,full-time,manufacturing,rubber and plastic products,rubber and plastic products,50.1,43.8,6.3
1996,part-time,manufacturing,rubber and plastic products,rubber and plastic products,24.5,23.1,1.4
1996,full-time,manufacturing,fabricated metal products,fabricated metal products,50.9,43.5,7.5
1996,part-time,manufacturing,fabricated metal products,fabricated metal products,22,20.7,1.3
1996,full-time,manufacturing,machinery and equipment,machinery and equipment,50.7,43.6,7.2
1996,part-time,manufacturing,machinery and equipment,machinery and equipment,22.4,21,1.4
1996,full-time,manufacturing,electrical products,electrical products,50.1,43.4,6.7
1996,part-time,manufacturing,electrical products,electrical products,26.5,24.8,1.7
1996,full-time,manufacturing,electronic products,electronic products,47.6,42.2,5.3
1996,part-time,manufacturing,electronic products,electronic products,22.7,21.4,1.2
1996,full-time,manufacturing,medical and precision instruments,medical and precision instruments,49.3,42.5,6.8
1996,part-time,manufacturing,medical and precision instruments,medical and precision instruments,22.7,21.8,0.9
1996,full-time,manufacturing,transport equipment,transport equipment,53.8,44,9.8
1996,part-time,manufacturing,transport equipment,transport equipment,20.3,19.5,0.8
1996,full-time,manufacturing,other manufacturing industries,other manufacturing industries,51.3,43.9,7.4
1996,part-time,manufacturing,other manufacturing industries,other manufacturing industries,23.3,23.1,0.2
1996,full-time,construction,construction,construction,52,45,7
1996,part-time,construction,construction,construction,22.4,22.3,0.1
1996,full-time,services,wholesale and retail trade,wholesale trade,44.3,42.2,2.1
1996,part-time,services,wholesale and retail trade,wholesale trade,25.7,25.3,0.4
1996,full-time,services,wholesale and retail trade,retail trade,46,43.3,2.7
1996,part-time,services,wholesale and retail trade,retail trade,23.8,23.6,0.2
1996,full-time,services,hotels and restaurants,hotels,45.9,43.9,2
1996,part-time,services,hotels and restaurants,hotels,23.2,22.7,0.5
1996,full-time,services,hotels and restaurants,restaurants,45.4,44.4,1.1
1996,part-time,services,hotels and restaurants,restaurants,26,25.6,0.4
1996,full-time,services,"transport, storage and communications","transport, storage and communications",47.3,43.5,3.8
1996,part-time,services,"transport, storage and communications","transport, storage and communications",25,23.9,1
1996,full-time,services,financial intermediation,financial institutions,43.6,42.4,1.2
1996,part-time,services,financial intermediation,financial institutions,20.4,20.1,0.4
1996,full-time,services,financial intermediation,insurance and pension funding,40.3,39.5,0.8
1996,part-time,services,financial intermediation,insurance and pension funding,20.5,20.4,0.1
1996,full-time,services,business and real estate services,business and real estate services,45,42.4,2.5
1996,part-time,services,business and real estate services,business and real estate services,24.3,24,0.3
1996,full-time,services,"community, social and personal services","community, social and personal services",42.7,41.4,1.3
1996,part-time,services,"community, social and personal services","community, social and personal services",23.1,22.6,0.5
1996,full-time,others,others,others,46.9,44.6,2.3
1996,part-time,others,others,others,31.4,31.4,-
